Enabled for Checkout,Įjungti
"Please enter a number or string that matches the pattern n:n:n|n:n:n ...","Įveskite skaičių arba tekstą, kuris atitinka šabloną n:n:n|n:n:n ...",
Select a pickup point,Pasirinkite atsiėmimo punktą
Select terminal,Pasirinkite terminalą
Enter address,Įveskite adresą
Pickup points map,Atsiėmimo punktų žamėlapis
Filter result,Rezultatų filtravimas
Pickups,Atsiėmimo punktai
Lockers,Paštomatai
Reset,Atstatyti
Pickup points,Paėmimo taškai
Select,Pasirinkti
Delivery time:,Pristatymo laikas:
Anytime,Betkada
Until 10:00,Iki 10:00
Until 12:00,Iki 12:00
Door code (optional):,Durų kodas (neprivaloma):
Cabinet number (optional):,Kabineto numeris (neprivaloma):
Warehouse number (optional):,Sandėlio numeris (neprivaloma):
Call before delivery,Paskambinti prieš pristatant
Courier,Kurjeris
Pickup point,Paštomatas/atsiėmimo punktas
